Nombre,SKU,Categoría,Marca,Costo,Precio Venta,Stock
Remera MUMI C/ Bordado,0165,Remeras,Arizona,19990.0000|19990.0000,34982.5000|34982.5000,0
Musculosa JENNY bordada,0166,Musculosas,Arizona,18750.0000|18750.0000,32812.5000|32812.5000,0
Musculosa MIRI c/ piedras,0167,Remeras,Arizona,22500,39375,0
Blusa NADINE Broderie Bordada,0168,Blusas,Arizona,31250,54687.5,0
Musculosa KAIA Bordada,0169,Musculosas,Arizona,18750.0000|18750.0000|18750.0000,32812.5000|32812.5000|32812.5000,0
Remera ARDEN c Piedras,0170,Remeras,Arizona,22500.0000|22500.0000,39375.0000|39375.0000,0
Mini Queen Dinasty Lentejuelas y Tull,0171,Minifaldas,Arizona,37490,65607.5,0
Blazer Metalizado Cruzado,0172,Blazers,Arizona,18785,32873.75,0
Musculosa Beauty Black Lentejuelas,0173,Musculosas,Arizona,27551,48214.25,0
Musculosa Beauty Cream Lentejuelas,0174,Musculosas,Arizona,27551,48214.25,0
Blusa Lorenza,0175,Blusas,LSK,19900,34825,0
Campera Tatum Jean,0176,Camperas,LSK,32900,57575,0
Chaleco DUNCAN,0177,Chalecos,LSK,29900,52325,0
Chaleco Felix,0178,Chalecos,LSK,26900,47075,0
Pollera MARTINA,0179,Polleras,LSK,5000.0000|5000.0000,8750.0000|8750.0000,0
Skort Kopar encaje,0180,Shorts,LSK,17900,31325,0
Mini bordada Danielle,0181,Minifaldas,LSK,18900,33075,0
Palazo JOHNSON liso,0182,Pantalones,LSK,22900,40075,0
Pantalon Baduz con vivos,0183,Pantalones,LSK,24900,43575,0
Top BAHIA,0184,Tops,LSK,9900,17325,0
Top Venecia,0185,Tops,LSK,17900,31325,0
Blusa Guada Bordada,0186,Blusas,LSK,14900,26075,0
Remera ANTONIA CON TACHAS,0188,Remeras,LSK,15900,27825,0
Pantalon NEW PAUNETTE BORDADO,0189,Pantalones,LSK,26900,47075,0
Remera Daiton,0190,Remeras,LSK,11900,20825,0
Chaqueta ROCKVILLE,0191,Camperas,LSK,24900,43575,0
Top Doha,0192,Tops,LSK,12900,22575,0
Mini Turquie Jean,0193,Minifaldas,LSK,19900,34825,0
Blusa Lina,0194,Blusas,LSK,17900,31325,0
Short QUEBEC,0195,Shorts,LSK,15900,27825,0
Short AMPI,0196,Shorts,LSK,22900,40075,0
Top Glads,0197,Tops,LSK,17900,31325,0
Remera The Angel bordada,0198,Remeras,LSK,16900,29575,0
Short Milano,0199,Shorts,Nissie,17000,29750,0
Short Losty,0200,Shorts,Nissie,10000.0000|10000.0000,17500.0000|17500.0000,0
Short Murcia,0201,Shorts,Nissie,16000.0000|16000.0000|16000.0000|16000.0000,28000.0000|28000.0000|28000.0000|28000.0000,0
Short Mubba Verde,0202,Shorts,Nissie,16000.0000|16000.0000,28000.0000|28000.0000,0
Short Murely,0204,Shorts,Nissie,17000.0000|17000.0000,29750.0000|29750.0000,0
Short Pekin,0205,Shorts,Nissie,15000.0000|15000.0000|15000.0000,26250.0000|26250.0000|26250.0000,0
Short Nina,0206,Shorts,Nissie,18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000,0
Short Madrid,0207,Shorts,Nissie,17000.0000|17000.0000|17000.0000,29750.0000|29750.0000|29750.0000,0
Short Jizan,0208,Shorts,Nissie,19000.0000|19000.0000|19000.0000,33250.0000|33250.0000|33250.0000,0
Short Oxid,0209,Shorts,Nissie,17000.0000|17000.0000|17000.0000,29750.0000|29750.0000|29750.0000,0
Pollera boho microtull,0210,Polleras,Meferti,17000,29750,0
Pollera micro volados,0211,Polleras,Meferti,14000,24500,0
Pollera plato micromorley,0212,Polleras,Meferti,9800,17150,0
TOP ROMBO MICROTULL,0213,Tops,Meferti,7500,13125,0
Top boho lentejuela,0214,Tops,Meferti,11800,20650,0
Top bralet con buche,0215,Tops,Meferti,9000,15750,0
Top corset importado con cinta,0216,Tops,Meferti,22500,39375,0
Top crochet Marilyn,0217,Tops,Meferti,11000,19250,0
Top importado bretel cintas,0218,Tops,Meferti,22500,39375,0
Top retro hombro frunce,0219,Tops,Meferti,8800,15400,0
Top retro lluvia de strass,0220,,,9500,16625,0
Top retro óvalo con avío,0221,Tops,Meferti,7200,12600,0
Vestido Strapless,0222,Vestidos,Meferti,20500,35875,0
Vestido asimétrico,0223,Vestidos,Meferti,14500,25375,0
Vestido lunares,0224,Vestidos,Meferti,18000,31500,0
Vestido strapless lluvia de strass,0225,Vestidos,Meferti,18800,32900,0
Vestido strapless meduza,0226,Vestidos,Meferti,28000,49000,0
Vestido straple misha,0227,Vestidos,Meferti,19200,33600,0
vestido straples accesorio U,0228,Vestidos,Meferti,15000,26250,0
vestido strapless recorte,0229,Vestidos,Meferti,16000,28000,0
Short cancun conjunto,0231,Shorts,Samara,16800.0000|16800.0000|16800.0000,29400.0000|29400.0000|29400.0000,0
Musculosa vallarda,0232,Musculosas,Samara,18800.0000|18800.0000|18800.0000,32900.0000|32900.0000|32900.0000,0
Remera Allende conjunto,0233,Remeras,Samara,15500.0000|15500.0000|15500.0000,27125.0000|27125.0000|27125.0000,0
Remera Cancun conjunto,0234,Remeras,Samara,20500.0000|20500.0000|20500.0000,35875.0000|35875.0000|35875.0000,0
Remera Oaxaca,0235,Remeras,Samara,15400.0000|15400.0000,26950.0000|26950.0000,0
Remera Guadalajara,0236,Remeras,Samara,16800,29400,0
Camisa N-700,0237,Camisas,Mouk,25000,43750,0
Malla JR-25513,0238,Mallas,Mouk,15000.0000|15000.0000|15000.0000|15000.0000,26250.0000|26250.0000|26250.0000|26250.0000,0
Malla JR-25512,0239,Mallas,Mouk,15000.0000|15000.0000|15000.0000|15000.0000,26250.0000|26250.0000|26250.0000|26250.0000,0
Pantalon K-250403,0240,Pantalones,Mouk,28000.0000|28000.0000,49000.0000|49000.0000,0
Bermuda k-250408,0241,Bermudas,Mouk,18000.0000|18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000|31500.0000,0
Bermuda k-250406,0242,Bermudas,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Chomba jp-01,0243,Chombas,Mouk,20000.0000|20000.0000,35000.0000|35000.0000,0
Chomba J-1036,0244,Chombas,Mouk,20000.0000|20000.0000,35000.0000|35000.0000,0
Chomba J-1035,0245,Chombas,Mouk,20000.0000|20000.0000,35000.0000|35000.0000,0
Chomba Jp-06 over,0246,Chombas,Mouk,20000.0000|20000.0000|20000.0000,35000.0000|35000.0000|35000.0000,0
Remera J-1120,0247,Remeras,Mouk,18000,31500,0
Remera Na-10,0248,Remeras,Mouk,18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000,0
Remera Na-19,0249,Remeras,Mouk,18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000,0
Remera Básica,0250,Remeras,Mouk,15000.0000|15000.0000|15000.0000,26250.0000|26250.0000|26250.0000,0
Remera Art 1639,0251,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Remera na-03,0252,Remeras,Mouk,18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000,0
Remera Na-15,0253,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Remera na-07,0254,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Remera na-14,0255,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Remera na-11,0256,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Remera km-23,0257,Remeras,Mouk,18000.0000|18000.0000|18000.0000,31500.0000|31500.0000|31500.0000,0
Remera na-04,0258,Remeras,Mouk,18000.0000|18000.0000,31500.0000|31500.0000,0
Short Pollera Vesnia.Cey bordado con volados en capas,0259,Shorts,OnenOn,8000.0000|8000.0000,14000.0000|14000.0000,0
Top Thessia.Crochet asimetrico de un solo hombro c/hebilla,0260,Tops,OnenOn,6900.0000|6900.0000|6900.0000,12075.0000|12075.0000|12075.0000,0
Musculosa Sunny.Morley Dior jaspeado,0261,Musculosas,OnenOn,7500.0000|7500.0000|7500.0000,13125.0000|13125.0000|13125.0000,0
Musculosa Thalia.Nina rib cuello redondo,0262,Musculosas,OnenOn,6500.0000|6500.0000|6500.0000,11375.0000|11375.0000|11375.0000,0
Short pollera Dessa.Sastrero liso c cierre y botones,0263,Shorts,OnenOn,8500.0000|8500.0000|8500.0000,14875.0000|14875.0000|14875.0000,0
