"Nombre","SKU","Código","Categoría","Marca","Costo","Precio Venta","Stock"
"Top retro óvalo con avío - M","0221-1","","Tops","Meferti","7200.00","12600.00","1"
"TOP ROMBO MICROTULL - Unico","0213-1","","Tops","Meferti","7500.00","13125.00","1"
"Top sin manga lino - M","0068-1","","Tops","Merci","15645.00","27378.75","1"
"Top Thessia.Crochet asimetrico de un solo hombro c/hebilla - S","0260-1","","Tops","OnenOn","6900.00","12075.00","1"
"Top Thessia.Crochet asimetrico de un solo hombro c/hebilla - M","0260-2","","Tops","OnenOn","6900.00","12075.00","1"
"Top Thessia.Crochet asimetrico de un solo hombro c/hebilla - L","0260-3","","Tops","OnenOn","6900.00","12075.00","1"
"Top Venecia - Negro","0185-1","","Tops","LSK","17900.00","31325.00","0"
"Vestido asimétrico - M","0223-1","","Vestidos","Meferti","14500.00","25375.00","1"
"Vestido lunares - M","0224-1","","Vestidos","Meferti","18000.00","31500.00","1"
"Vestido straple misha - M","0227-1","","Vestidos","Meferti","19200.00","33600.00","1"
"vestido straples accesorio U - M","0228-1","","Vestidos","Meferti","15000.00","26250.00","2"
"Vestido Strapless - M","0222-1","","Vestidos","Meferti","20500.00","35875.00","1"
"Vestido strapless lluvia de strass - M","0225-1","","Vestidos","Meferti","18800.00","32900.00","1"
"Vestido strapless meduza - M","0226-1","","Vestidos","Meferti","28000.00","49000.00","1"
"vestido strapless recorte - M","0229-1","","Vestidos","Meferti","16000.00","28000.00","2"
